title,doi
"Interview with Professor Lucy Mair",NULL
"53 minute video on doing fieldwork",NULL
"Reflections on fieldwork among the Gurungs of Nepal",NULL
"Reflections on using film in fieldwork",NULL
"Lecture on fieldwork in the Soviet Union, 1988-9",NULL
"CSSA Spring Festival Gala 2004",NULL
"Lecsture on ‘Sir J.G.Frazer: Science and Sensibility’",NULL
"Gerry Martin at a Seminar",NULL
Interview,NULL
"Interview with Pat Caplan",NULL
"JPEG File Interchange Format",NULL
"The Independent JPEG Group's JPEG software",NULL
"So That Men Are Free",NULL
"20020932: Rock (unknown), panel (25)",NULL
"20020934: Rock (unknown), panel (25)",NULL
"20020936: Rock (unknown), panel (25)",NULL
"20020937: Rock (unknown), panel (25)",NULL
"20021002: Rock (unknown), panel (25)",NULL
"20021004: Rock (unknown), panel (25)",NULL
"20021006: Rock (unknown), panel (25)",NULL
"20021008: Rock (unknown), panel (25)",NULL
"20021010: Rock (unknown), panel (25)",NULL
"20021012: Rock (unknown), panel (26)",NULL
"20021014: Rock (unknown), panel (26)",NULL
"20021016: Rock (unknown), panel (26)",NULL
"20021018: Rock (unknown), panel (26)",NULL
"20021020: Rock (unknown), panel (26)",NULL
"20021022: Rock (unknown), panel (26)",NULL
"20021024: Rock (unknown), panel (26)",NULL
"20021032: Rock (unknown), panel (unknown)",NULL
"Geertz Frazer Lecture in Cambridge",NULL
"Conversation with Clifford Geertz, 4th May 2004",NULL
"Interview with Michael Banton on 24 August 2001",NULL
"Interview with Gwyllm (G.I.) Jones on 22 April 1989",NULL
"Interview of Jack Goody, 18 May 1991",NULL
"Interview of Polly Hill on 20th July 1996",NULL
"Interview of Laurence Picken on 3rd and 4th August 1983",NULL
"Documentary series: The Day the World Took Off",NULL
"Exploring the Roots of Industrial World",NULL
"Interview of John Barnes",NULL
interview,NULL
"Interview of S.J.Tambiah",NULL
"Benchmarking and Regulation of Electricity Transmission and Distribution Utilities: Lessons from International Experience",10.1016/s0301-4215(02)00226-4
"Bayesian Analysis of the Black-Scholes Option Price",10.1016/b978-075068321-0.50007-8
"Supply Shocks and the ""Natural Rate of Interest"": an Exploration",10.1017/cbo9780511492488.004
"The Derivation of a New Model of Equity Duration",NULL
"Bernstein Approximations to the Copula Function and Portfolio Optimization",NULL
"Controlling the Herd: Applications of Herding Theory",NULL
"A Tracing Method for Pricing Inter-Area Electricity Trades",NULL
"Productivity and Preferences in a Small Open Economy",10.1111/1467-9957.69.s1.4
"Improving the Estimates of the Risk Premia - Application in the UK Financial Market",NULL
"Combining Household Income and Expenditure Data in Policy Simulations",10.1111/1475-4991.00066
"The National Minimum Wage and In-work Poverty",NULL
"Competitive Bidding for a Long-term Electricity Distribution Contract",10.2202/1446-9022.1000
"General Model-based Filters for Extracting Cycles and Trends in Economic Time Series",10.1162/003465303765299774
"The Business Cycle, Macroeconomic Shocks and the Cross Section: The Growth of UK Quoted Companies.",10.2139/ssrn.380760
"International Benchmarking and Yardstick Regulation: An Application to European Electricity Utilities",10.1016/s0301-4215(02)00226-4
"Global Influences on UK Manufacturing Prices",NULL
"The Restructuring and Privatisation of British Rail: Was it really that bad?",NULL
"Modelling Regional Interdependencies Using a Global Error-Correcting Macroeconometric Model",10.2139/ssrn.293714
"Generalised Mean-Variance Analysis and Robust Portfolio Diversification",10.1016/b978-075065448-7.50003-3
"Electricity Diffusion and Trend Acceleration in Inter-War Manufacturing Productivity",10.2139/ssrn.303799
"Inflation and Price Level Targeting in a New Keynesian Model",10.1111/1467-9957.00301
"Output, Inflation and the New Keynesian Phillips Curve",10.1080/0269217042000227060
"Modelling Experience as Signal Accumulation",NULL
"Macro Economic Instability and Business Exit: Determinants of Failures and   Acquisitions of Large UK Firms",10.2139/ssrn.311240
"Strategy Learning in 3x3 Games by Neural Networks",NULL
"British Episodic Economic Growth 1850-1938",NULL
"Exchange Rate Monitoring Bands: Theory and Policy",10.2139/ssrn.391480
"Issues and Options for Restructuring Electricity Supply Industries",NULL
"A Quantitative Analysis of Pricing Behavior In California's Wholesale Electricity Market During Summer 2000",10.3386/w8157
"Relative Performance of UK and Japanese Electricity Distribution Systems 1985-1998:  Lessons for Incentive Regulation",NULL
"Use of Long-term Auctions for Network Investment",10.2139/ssrn.391999
"Optimal congestion treatment for bilateral electricity trading",NULL
"Models for Converging Economies",NULL
"The Implied Distribution for Stocks of Companies with Warrants and/or Executive Stock Options",NULL
"On the Valuation of Warrants and Executive Stock Options: Pricing Formulae for  Firms with Multiple Warrants/Executive Options",NULL
"The Impact of Technical Analysis on Asset Price Dynamics",NULL
"Testing Proportionality in Duration Models with Respect to Continuous Covariates",NULL
"Growth, Cycles and Convergence in US Regional Time Series",NULL
"New Test Statistics for Market Timing with Application to Emerging markets",10.1080/1351847042000286694
"The Operation of the Low Pay Commission",NULL
"Optimal Simple Rules for the Conduct of Monetary and Fiscal Policy",10.1016/j.jmacro.2005.01.005
"Allocating Transmission to Mitigate Market Power in Electricity Networks",10.2307/1593768
"Reform and Regulation of the Electricity Sectors in Developing Countries",NULL
"Regulatory Threat in Vertically Related Markets; The Case of German Electricity",10.1023/b:ejle.0000028639.88011.d2
"Modelling the Costs of Electricity Regulation: Evidence of Human Resource Constraints in Developing Countries",10.2139/ssrn.371600
"Regulatory Challenges to European Electricity Liberalisation",NULL
"The Temporal Efficiency of SO2 Emissions Trading",10.2139/ssrn.337142
"Technical efficiency in electricity generation - the impact of smallness and isolation of island economies",NULL
"Auctions and trading in energy markets -- an economic analysis",NULL
"Auctions to gas transmission access: The British experience",10.1017/cbo9780511610844.010
"A Real Time Tax Smoothing Based Fiscal Policy Rule",NULL
"Unions: Rent Extractors or Creators?",10.1111/j.1467-9442.2005.00397.x
"Testing for Drift in a Time Series",NULL
"Cyclical Components in Economic Time Series: a Bayesian Approach",NULL
"On the Interaction of Monetary and Fiscal Policy",NULL
"Market-induced Asset Specificity: Redefining the Hold-up Problem",NULL
"Estimation and Inference in Large Heterogeneous Panels with Cross Section Dependence",NULL
"How Costly is it to Ignore Breaks when Forecasting the Direction of a Time Series?",10.1016/s0169-2070(03)00068-2
"How Different is Wireless Access? Implications for Internet Mergers",10.2139/ssrn.453480
"Non-nested Models and the likelihood Ratio Statistic: A Comparison of Simulation and Bootstrap-based Tests",10.2139/ssrn.394341
"The Restructuring and Privatisation of Electricity Distribution  and Supply Business in Brazil: A Social Cost-Benefit Analysis",NULL
"Integrating Transmission and Energy Markets Mitigates Market Power",NULL
"Transmission Pricing of Distributed Multilateral Energy Transactions  to Ensure System Security and Guide Economic Dispatch",NULL
"Strategic Behaviour under Regulation Benchmarking",10.1016/j.eneco.2004.04.029
"Nordic Electricity Congestion's Arrangement as a Model for  Europe: Physical Constraints or Operators' Opportunity",10.1016/j.jup.2004.12.009
"Introducing Competition in the French Electricity Supply Industry: The  Destabilisation of a Public Hierarchy in an Open Institutional Environment",10.4337/9781781950265.00022
"Cross-Border Trade: A Two-Stage Equilibrium Model of the Florence  Regulatory Forum Proposals",NULL
"Welfare Impacts of Electricity Generation Sector Reform in the Philippines",10.1007/bf02295725
"Assessing the efficient cost of  sustaining Britain's rail network: perspectives based on Zonal comparisons",NULL
"Capital Taxation and Electoral Accountability",10.1016/j.ejpoleco.2005.06.007
"Changing Correlation and Portfolio Diversification Failure in the Presence of Large Market Losses",NULL
"Nonparametric Estimation of Multivariate Distributions with Given Marginals",NULL
"Endogenous Correlation",NULL
"Markov Equilibria in Dynamic Matching and Bargaining Games",10.1016/j.geb.2004.11.004
"The Irrelevance of Trade Union Recognition? A Comparison of Two Matched Companies",NULL
"Merchant Transmission Investment",10.3386/w9534
"Lessons form Phase 2 Compliance with the US Acid Rain Program",NULL
"Why did British Electricity Prices Fall after 1998?",NULL
"Diagnosing and Mitigating Market Power in Chile's Electricity Industry",NULL
"The Difficult Transition to Competitive Electricity Markets in the U.S.",NULL
"Bayesian  Estimation of Risk-Premia in an APT Context",10.1016/b978-075066006-8.50005-7
"Macroeconomic Dynamics and Credit Risk: A Global Perspective",10.1353/mcb.2006.0074
"Small Sample Properties of Forecasts from Autoregressive Models under Structural Breaks",10.1016/j.jeconom.2004.09.007
"Estimating Market Power in the Internet Backbone Using Band-X data",10.2139/ssrn.453482
"A Loss Aversion Performance Measure",NULL
"Product Launches with Biased Reviewers: The Importance of Not Being Earnest",NULL
"The Superiority of Tough Reviewers in a Model of Simultaneous Sales",NULL
"Social Capital and Collusion: The Case of Merchant Guilds",NULL
"Estimation in Hazard Regression Models under Ordered Departures from Proportionality",10.1016/j.csda.2003.12.002
"Scope for Cost Minimization in Public Debt Management: the Case of the UK",NULL
"Using Neural Networks to Model Bounded Rationality in Interactive Decision-Making",NULL
"Market-based Investment in Electricity Transmission Networks: Controllable Flow",10.1016/j.jup.2004.05.001
"A Comparison of Electricity Market Designs in Networks",10.1287/opre.1080.0624
"The Cutting Edge of Modernity: Machine Tools in the United States and Germany 1930-1945",NULL
"Online Price Dispersion Within and Between Seven European Countries",10.2139/ssrn.442241
"Policy Myopia",NULL
"Complexity and Competition, Part I: Sequential Matching",NULL
"A Simple Panel Unit Root Test in the Presence of Cross Section Dependence",10.2139/ssrn.457280
"On The Panel Unit Root Tests Using Nonlinear Instrumental Variables",10.2139/ssrn.482463
"A Bayesian Confidence Interval for Value-at-Risk",NULL
"Econometric Issues in the Analysis of Contagion",NULL
"Strategic Consensus",NULL
"Policy Compromises: Corruption and Regulation in a Dynamic Democracy",10.2139/ssrn.774006
"Network-constrained models of liberalized electricity markets: the devil is in the details",10.1016/j.eneco.2004.12.001
"Retail Competition and Electricity Contracts",NULL
"Recent blackouts in US and continental Europe: is liberalisation to blame?",NULL
"Benchmarking and incentive regulation of quality of service: an application to the UK  electricity distribution utilities",10.1016/j.enpol.2004.04.021
"Border Tax Adjustments: A feasible way to address nonparticipation in Emission Trading",NULL
"Regulated and merchant interconnectors in Australia: SNI and Murraylink revisited",NULL
"How Transparent Are Central Banks?",NULL
"Modelling corporate tax liabilities using company accounts: a new framework",NULL
"Existence of Equilibria and Core Convergence in Economies with Bads.",NULL
"Identifying and Interpreting Convergence Clusters Across Europe",10.1111/j.0013-0133.2005.00984.x
"Sen's Capability Approach to Welfare Economics",10.1007/3-540-28083-9_2
"Gains and Losses from Tax Competition with Migration",NULL
"Distributing Awards Efficiently: More on King Solomon's Problem",10.1016/j.geb.2004.09.002
"Complexity and Efficiency in Repeated Games and Negotiation",NULL
"Business Failure in UK and US Quoted Firms: Impact of Macroeconomic Instability and the Role of Legal Institutions",10.2139/ssrn.1011737
"Minority Opinion and Herd Behaviour",NULL
NULL,NULL
"Comparing Brazil and USA electricity performance; what was the impact of privatisation?",NULL
"Definition of a Balancing Point for Electricity Transmission Contracts",NULL
"Did English Generators Play Cournot? Capacity Withholding in the Electricity Pool",NULL
"Mobile Termination Charges: Calling Party Pays versus Receiving Party Pays",10.1016/j.telpol.2006.01.002
"Estimation of Discrete Choice Models Using DCM for Ox",NULL
"Insufficient Incentives for Investment in Electricity Generation",10.1016/j.jup.2004.06.002
"Sources of Emission Reductions: Evidence for US SO2 Emissions 1985-2002",10.1007/3-7908-1748-1_22
"Retail Electricity Competition",10.3386/w10473
"UK domestic energy contracts, the 28 day rule, and experience in Sweden",NULL
"Monetary Policy, Nominal Interest Rates, and Long-horizon Inflation Uncertainty",10.2139/ssrn.138175
"The Good News and the Bad News about Long-run Stock Market Returns",10.2139/ssrn.138170
"A survey of the liberalisation of public enterprises in the UK since 1979",NULL
"Expenditure on Environmentally Sensitive Goods and Services: Household Spending in Europe",NULL
"Neglected Heterogeneity and Dynamics in Cross-country Savings Regressions",10.2139/ssrn.267794
"Threshold Models for Trended Time Series",10.1007/s00181-003-0154-8
"Model Selection in Threshold Models",NULL
"Bounds Testing Approaches to the Analysis of Long-run Relationships",NULL
"Asymmetric Information and Survival in Financial Markets",NULL
"The Evolution of Portfolio Rules and the Capital Asset Pricing Model",10.2139/ssrn.302404
"Economic and Statistical Measures of Forecast Accuracy",10.1002/1099-131x(200012)19:7<537::aid-for769>3.3.co;2-7
"Testing for Infinite Order Stochastic Dominance with Applications to Finance, Risk and Income  Inequality",10.1007/s12197-007-9003-5
"The Statistical Relationship between Bivariate and Multinomial Choice Models",NULL
"Issue Linkage, Delegation, and International Policy Cooperation",10.2139/ssrn.163173
"On Interdependent Supergames: Multimarket Contact, Concavity, and Collusion",10.2139/ssrn.162812
"Weather Effects on European Agricultural Output 1850-1913",NULL
"On the Evolution of Regional Asymmetries",NULL
"Effective Exchange Rates in Japan, 1879-1938",10.1016/s0922-1425(01)00052-4
"Non-nested Hypothesis Testing: An Overview",NULL
"On Aggregation of Linear Dynamic Models",NULL
"Monetary Policy Loss Functions: Two Cheers for the Quadratic",10.2139/ssrn.186149
"Inflation Targeting, Transparency and Interest Rate Volatility:   Ditching 'Monetary Mystique' in the UK",10.1016/s0164-0704(01)00168-9
"Interview of Jeremy Boissevain",NULL
"Interview with John Beattie",NULL
"Seminar with M.N.Srinivas",NULL
"Interview of Jean La Fontaine",NULL
"Interview of Clifford Geertz",10.4324/9781315875590
"Interview of Clifford Geertz",10.4324/9781315875590
"Interview of Edmund Leach",NULL
"Interview of Raymond Firth",NULL
"Interview of F.K.Lehman",NULL
"Real Time Econometrics",10.1017/s0266466605050139
"Forecasting Time Series Subject to Multiple Structural Breaks",10.1111/j.1467-937x.2006.00408.x
"Random Coefficient Panel Data Methods",10.1007/978-3-540-75892-1_6
"General Diagnostic Tests for Cross Section Dependence in Panels",NULL
"Interview with Rosemary Firth",NULL
"Interview with Philip Gulliver",NULL
"Interview with Christoph von Furer-Haimendorf",10.2307/1796034
"Interview with Ronald Frankenberg",NULL
"Interview of Adrian Mayer",NULL
"Interview of  Emmanuel Marx",NULL
"Lecture and discussion on divination",NULL
"Religion and Fertility in India: The role of son preference and daughter aversion",NULL
"Core Indicators for Determinants and Performance of Electricity Sector in Developing Countries",10.1596/1813-9450-3599
"Electricity Sector Reform in Developing Countries: A Survey of Empirical Evidence on Determinants and Performance",10.1596/1813-9450-3549
"Fires in Japan",NULL
"Alan and Mark on Water Mills",NULL
"Alan and Mark on Glass",NULL
"A medieval street",NULL
"Making Sake",NULL
"Inside a bamboo factory",NULL
"The future of humans",NULL
"Types of human development: industrious and industrial",NULL
"Learning about the World",NULL
"Nepelese cooking",NULL
"Nepal and manure (dung)",NULL
"Nepalese grains",NULL
"Grinding millet",NULL
"A Gurung dance",NULL
"Markets and money",NULL
"A meal and a blessing",NULL
"Millet harvesting",NULL
Monastery,NULL
"Neolithic and industrial revolutions",NULL
Neolithic,NULL
Ploughing,NULL
"Pounding grain",NULL
"Rice and Oxen",NULL
Sickle,NULL
"Sugar press",NULL
"Trip to the village",NULL
"A village morning",NULL
"China in 1350",NULL
"Chinese astronomy",NULL
"Chinese Confucianism",NULL
"China and industrialization",NULL
"Chinese weapons",NULL
"Chinese gunpowder",NULL
"Remembering Aborted Foetuses in a Japanese Shrine",NULL
"Why Japanese weapons failed to develop",NULL
"Gerry Martin and Mark Elvin in conversation",NULL
"Bamboo craftsman",NULL
"Ride on a bullet train",NULL
"Christians in Japan",NULL
"School eye-testing",NULL
"Face-painting and Japan",NULL
"Geishas in Gion area of Kyoto",NULL
"Lacquer work",NULL
"Short-sightness (myopia) in Japan",NULL
"Discussions in an old Japanese school",NULL
"Paper making in Japan",NULL
"Sword making in Japan",NULL
"A teahouse in a tea garden",NULL
"Trading between Japan and the outside world",NULL
"A small seminar at King's College on the history of the world",NULL
"The history of Windfall Films: part one",NULL
"The history of Windfall Films: part two",NULL
"Editing the film series",NULL
"Editing the sound",NULL
"Filming the Kojunsha club and Keio speech hall",NULL
"Filming in a Buddhist shrine",NULL
"Filming in the bullet train",NULL
"Filming on Desima island, Nagasaki",NULL
"Filming the crew at a meal in Japan",NULL
"Filming Japanese pottery",NULL
"Filming in Venice",NULL
"Filming in Istanbul",NULL
Reflexions,NULL
"Filming in an ancient school in Osaka",NULL
"Alan and Mark in conversation",NULL
"Pottery in Japan",NULL
"The Kojunsha Club and Speech Hall in Toyko",NULL
"The University of Keio and the Speech Hall",NULL
"Interview with Raymond Apthorpe",NULL
"Scenes in Venice, reflections in the water",NULL
"Interview with Lucy Mair",NULL
"Scenes on the Grand Canal in Venice",NULL
"The great industrial boatyard of Venice",NULL
"Why the Venetians did not move on to an industrial revolution",NULL
"The development of commerce and banking in Venice",NULL
"The history of glass making in Venice",NULL
"Why Venice became the centre of glass-making",NULL
"The methods used to cut glass in Venice",NULL
"The role and effect of mirrors on civilizations",NULL
"The role of the Jews in Venetian commerce",NULL
"The need for Jews in Venetian civilization",NULL
"Some reasons why an industrial revolution could not occur in Venice",NULL
"The reasons for the development of the human species",NULL
"The effects of writing and printing on human imagination",NULL
"The reasons for the rapid development of human technologies",NULL
"The contradictory character of human beings; predation and co-operation",NULL
"The destruction of Australian aboriginal societies",NULL
"The normal stages into which history is divided and the Australian exception",NULL
"The effects of climate on civilizations",NULL
"The destruction of hunter-gatherer way of life",NULL
"The effects of European diseases on the native peoples of Australia",NULL
"The puzzle of why Australia remained a hunter-gatherer society and the west did not.",NULL
"The normal tendencies of human civilizations towards stasis; a brief map of history",NULL
"The spread of the 'empire of the dandelion', that is European agriculture",NULL
"The weak point in the explanation of why some societies did not develop agriculture",NULL
"Making a cart-wheel in a woodman's workshop",NULL
"Ploughing in England",NULL
"A blacksmith shoeing a horse",NULL
"Stages in the making of glass",NULL
"The nature and importance of English clubs",NULL
"The development of coke smelting and the industrial revolution",NULL
"The nature of iron and its importance",NULL
"The revolutionary importance of coal",NULL
"The importance of canals in England",NULL
"Why was it in England that coal was most used?",NULL
"How a glass mirror is made",NULL
"The nature of early cities in Britain and the effects on health",NULL
"What caused the mortality decline in Britain in the eighteenth century?",NULL
"The role of tea in making the industrial revolution possible",NULL
"How did tea help infants against dysentery in England?",NULL
"Why did tea become much more popular in Britain than elsewhere?",NULL
"The early history of tea - from the start to the gardens of Assam",NULL
"The spread of tea throughout Europe",NULL
"Types of city in Britain and Japan",NULL
"The absence of the wheel in Japan",NULL
"The reasons for the decline in the use of wheels in Japan",NULL
"The importance of the wheel",NULL
"The reasons for the early success of Japanese industrialization",NULL
"The history and effects of mills on western civilization",NULL
"The Development of the Japanese Toilet and its Impact",NULL
"Nepalese cooking",NULL
"The reasons for stasis in Islamic science",NULL
"Some reasons why an industrial revolution did not occur in the Ottoman Empire",NULL
"The nature of Islamic religion and civilization",NULL
"The commerial sophistication of the Ottoman Empire and its limits",NULL
"The puzzle of the Ottoman Empire",NULL
"The nature of power in the Ottoman Empire",NULL
"Science, religion and technology in Islamic civilization",NULL
"How a printing press works",NULL
"The history and importance of printing (part one)",NULL
"The history and importance of printing (part two)",NULL
"Scenes in a traditional printing press",NULL
"Water, mills and the origins of capitalism; the role of the Benedictines",NULL
"Glass making in a Benedictine workshop",NULL
"The importance of glass in understanding our modern world",NULL
"A bindery in a Benedictine Abbey in northern Scotland",NULL
"Scenes in a monastery",NULL
"Discussion of the role of the Benedictines in civilization",NULL
"A communion service in a Benedictine Abbey",NULL
"Buddhism and Christianity compared in their effects",NULL
"A Buddhist ritual",NULL
Interview,NULL
"Interview with Philip Mayer",NULL
"Interview with Iona Mayer",NULL
"Interview with Nur Yalman",NULL
"Filming a bamboo craftsman",NULL
"Filming bamboo cutting and bamboo factory",NULL
"Fukuzawa at Keio University",NULL
"Filming in the Kojunsha Club, Tokyo",NULL
"Filming in a Japanese school, and eye tests for myopia",NULL
"Filming in a Japanese toilet",NULL
"Shigerachi kiln and pottery in Japan",NULL
"Shigerachi kiln and pottery in Japan - part two",NULL
"Paper making in Japan",NULL
"Making sake (distilled rice drink)",NULL
"Behind the scenes at a Japanese tea ceremony",NULL
"Filming of a group of geisha or maiko in Kyoto",NULL
"Filming in Osaka castle",NULL
"Seminar at King's College - first",NULL
"Seminar at King's College, Cambridge,  number two",NULL
"Seminar at King's College, Cambridge - number three",NULL
"Seminar at King's College, Cambridge, number four",NULL
"Seminar at Kings College, Cambridge - Number 5",NULL
"Seminar at King's College, Cambridge - number 6",NULL
"Eighteenth century ships as factories and the movement of plants around the world",NULL
"Ships as complex technical systems",NULL
"The automation of wood-cutting",NULL
"The steam engine and industrialization",NULL
"What made Stephenson's Rocket steam engine special",NULL
"The effects of railways on society and mentality",NULL
"How did the Rocket steam engine work?",NULL
"Glass and spectacles",NULL
"Importance of glass and brass",NULL
"The links between science and industrialization",NULL
"Faraday's laboratory and its importance",NULL
"The nature and importance of early glass air pumps",NULL
"The importance of glass instruments in science in the seventeenth century",NULL
"Examples of lenses and glass receptacles",NULL
"Glass and its importance in early science",NULL
"The essence of steam technology and its link to distillation",NULL
"Glass, clocks and precision",NULL
"Glass in the east and west and its consequences",NULL
"Origins of mechanical clocks",NULL
"Clocks and their discovery",NULL
"The development of complex mechanical clocks and the escapement",NULL
"Clocks and other medieval machines including mills",NULL
"The spread of mechanical clocks",NULL
"The development of spring driven clocks",NULL
"The development of clock faces and objective time",NULL
"The development of clocks into the eighteenth century",NULL
"Precision clock making and the personalization of time",NULL
"A clockmaker's shop as the pooling of many devices and skills",NULL
"Machine tools for making clocks",NULL
"Clock mechanisms and their effects, leads into steam engine",NULL
"Effects of the pocket watch in breaking up agrarian time",NULL
"The escape from nature which clocks and machines gave",NULL
"Examples of clocks and watches working",NULL
"Filming in a japanese tea garden in Kyoto",NULL
