10.1016/j.psyneuen.2008.10.009	0787096B	Stress effects on declarative memory retrieval are blocked by a β-adrenoceptor antagonist in humans	Previous evidence indicates that stress hormone effects on memory consolidation depend on concurrent emotional arousal-induced noradrenergic activity. Here, we asked whether this is also true for stress effects on memory retrieval and hypothesized that administration of the β-adrenoceptor antagonist propranolol would block the effects of stress on declarative and procedural retrieval performance. In a double-blind, placebo-controlled, crossover study, 44 healthy young men learned a list of emotional and neutral words (declarative memory task) and completed a serial reaction time task (procedural memory task). On the following day, participants received either a placebo or 40 mg propranolol orally. One hour later, they were exposed to stress (socially evaluated cold pressor test (SECPT)) or a control condition 30 min prior to retention testing. Stress selectively enhanced the retrieval of emotionally arousing words. Pretreatment with propranolol had no effect on memory alone but blocked the stress-induced memory enhancement for emotional words, confirming the importance of noradrenergic activity in stress effects on memory retrieval. Memory for neutral words and the procedural task was neither affected by stress nor by propranolol. The present findings suggest that stress (hormone) effects on emotional memory retrieval require concurrent noradrenergic activation. Procedural memory retrieval and the retrieval of neutral verbal material appear to be less susceptible to stress. © 2008 Elsevier Ltd. All rights reserved.	6	2009
10.1080/13611260601086394	0459CA06	Examining mentors' practices for enhancing preservice teachers' pedagogical development in mathematics and science	Mentoring is too important to be left to chance (Ganser, 1996), yet mentoring expertise of teachers varies widely, which may present inequities for developing preservice teachers' practices. Five factors for mentoring have been identified herein: personal attributes, system requirements, pedagogical knowledge, modelling, and feedback, and items associated with each factor have also been justified in context of the literature. An original, literature-based survey instrument gathered 446 preservice teachers' perceptions of their mentoring for primary teaching. Data were analysed within the above-mentioned five factors with 331 final-year preservice teachers from nine Australian universities responding to their mentoring for science teaching and 115 final-year preservice teachers from an urban university responding to their mentoring for mathematics teaching. Results indicated similar Cronbach alpha scores on each of the five factors for primary science and mathematics teaching; however percentages and mean scores on attributes and practices aligned with each factor were considerably higher for mentoring mathematics teaching compared with science teaching. ABSTRACT FROM AUTHOR	9	2007
10.1371/journal.pgen.1004050	002293A3	The Midline Protein Regulates Axon Guidance by Blocking the Reiteration of Neuroblast Rows within the Drosophila Ventral Nerve Cord	Guiding axon growth cones towards their targets is a fundamental process that occurs in a developing nervous system. Several major signaling systems are involved in axon-guidance, and disruption of these systems causes axon-guidance defects. However, the specific role of the environment in which axons navigate in regulating axon-guidance has not been examined in detail. In Drosophila, the ventral nerve cord is divided into segments, and half-segments and the precursor neuroblasts are formed in rows and columns in individual half-segments. The row-wise expression of segment-polarity genes within the neuroectoderm provides the initial row-wise identity to neuroblasts. Here, we show that in embryos mutant for the gene midline, which encodes a T-box DNA binding protein, row-2 neuroblasts and their neuroectoderm adopt a row-5 identity. This reiteration of row-5 ultimately creates a non-permissive zone or a barrier, which prevents the extension of interneuronal longitudinal tracts along their normal anterior-posterior path. While we do not know the nature of the barrier, the axon tracts either stall when they reach this region or project across the midline or towards the periphery along this zone. Previously, we had shown that midline ensures ancestry-dependent fate specification in a neuronal lineage. These results provide the molecular basis for the axon guidance defects in midline mutants and the significance of proper specification of the environment to axon-guidance. These results also reveal the importance of segmental polarity in guiding axons from one segment to the next, and a link between establishment of broad segmental identity and axon guidance.	8	2013
10.1590/S0101-81751994000200001	03017E95	Atratividade de diferentes iscas e sua relação com as fases de desenvolvimento ovariano em calliphoridae e sarcophagidae (insecta, diptera)	Attrativeness of differents baits (fish, faeces and banana) upon ovarian development fases of Calliphoridae and Sarcophagidae was evaluated. The insects were captured in Distrito Federal (urban area) and Rio de Janeiro city (beach, zoological garden, urban area and Tijuca forest). The most frequent species captured were: Calliphoridae - Chrysomya megacephala (Fabricius, 1794) 78,9% and Chtysomya puloria (Wiedemann, 1818) 5,4% - and Sarcophagidae - Sarcophagula Wulp, 1887 2,3% and Peckya chrysostoma (Wiedemann. 1830) 2,2%. Fish was more attractive to females of Calliphoridae flies in intense ovarian vitelogenesis, although banana atracted more flies with mature eggs. Faeces and fish were more atractive for Sarcophagidae in the beggining of vitelogenesis.	5	1994
10.1080/00856400701714096	06CC599D	Religious and Economic Reform: The Gaidinliu Movement and the Heraka in the North Cachar Hills		1	2007
10.1016/j.tcm.2012.06.008	08EB23D0	Flecainide and Antiarrhythmic Effects in a Mouse Model of Catecholaminergic Polymorphic Ventricular Tachycardia	Recent studies have shown that flecainide may be an effective therapy to prevent life-threatening arrhythmias in patients with catecholaminergic polymorphic ventricular tachycardia. Several hypotheses have been advanced to explain the antiarrhythmic mechanism of flecainide, including Na+ channel blockade and a direct inhibitory action on the ryanodine receptor. In this article, we review the current literature on the topic and summarize the elements of the existing debate. ?? 2012 Elsevier Inc.	9	2012
10.1155/S0962935194000682	0F815210	The Increased Expression of HLA-DR and ICAM-1 Molecules by Human Bronchial Epithelial Cells, Induced by Activated Mononuclear Cells, is Downregulated by Nedocromil Sodium.	To test the hypothesis that mononuclear cell products could increase the expression of HLA-DR and ICAM-1 molecules in bronchial epithelial cells (BECs), subconfluent cultures of human BECs, obtained from surgically resected bronchi, were incubated with PHA-activated blood mononuclear cell conditioned media (BCM-CM) or recombinant IFN-gamma. The presence of HLA-DR and ICAM-1 molecules on BECs was then evaluated by specific antibody staining and flow-cytometry analysis. The addition to BEC cultures of different concentrations of PHA-stimulated BMC-CM, or of IFN-gamma induced a dosedependent increase of HIA-DR and ICAM-1 expression, while no effect was observed with unstimulated BMC-CM. The ability of nedocromil sodium and, as control, of dexamethasone, to prevent the upregulation of HLA-DR and ICAM-1 expression on BECs was then tested. Increasing concentrations (10(-7) to 10(-4) M) of nedocromil significandy inhibited HLA-DR and ICAM-1 expression by BECs in a dose-dependent fashion. A similarly dose-dependent inhibitory effect was also observed with dexamethasone, which, however, was less active than nedocromil on HL-ADR expression and more active on ICAM-1 expression. Finally, nedocromil and dexamethasone showed a significant synergistic effect on the expression of both cell surface molecules at the lowest concentrations tested.	4	1994
10.1007/s10569-010-9317-z	0E50EBBE	On the stability of artificial equilibrium points in the circular restricted three-body problem	The article analyses the stability properties of minimum-control artificial equilibrium points in the planar circular restricted three-body problem. It is seen that when the masses of the two primaries are of different orders of magnitude, minimum-control equilibrium is obtained when the spacecraft is almost coorbiting with the second primary as long as their mutual distance is not too small. In addition, stability is found when the distance from the second primary exceeds a minimum value which is a simple function of the mass ratio of the two primaries and their separation. Lyapunov stability under non-resonant conditions is demonstrated using Arnold's theorem. Among the most promising applications of the concept we find solar-sail-stabilized observatories coorbiting with the Earth, Mars, and Venus.	7	2011
10.1016/j.ejvs.2004.02.001	055A1A2E	Elevation in plasma MMP-9 following carotid endarterectomy is associated with particulate cerebral embolisation	Objectives. To study plasma MMP-9 levels before and after carotid endarterectomy (CEA). Design. Observational study. Methods. Pre-operative (morning of surgery) and post-operative (48 h) plasma samples were obtained from 75 consecutive patients undergoing CEA. MMP-9 concentrations were quantified using ELISA. Transcranial Doppler monitoring was performed on each patient to detect particulate embolisation during the dissection phase of the CEA, until the application of carotid clamps. Results. The median post-operative plasma MMP-9 level of emboli-positive patients was significantly higher than their median pre-operative value (14.9 ng/ml vs. 8.8 ng/ml; p = 0.038). However, no significant difference was seen in the plasma MMP-9 level of emboli-negative patients (7.7 ng/ml vs. 7.1 ng/ml; p = 0.364). A greater rise was seen in the median plasma MMP-9 levels of those patients suffering > 2 emboli (from 3.4 to 19.3 ng/ml; p = 0.041) than those patients suffering 1 or 2 emboli (from 10.1 to 12.8 ng/ml; p = 0.340). Conclusions. Plasma MMP-9 only rises after CEA in patients with evidence of embolisation. This increase is more pronounced in those with high numbers of emboli. These data suggest that the increase in MMP-9 is due to cerebral damage caused by embolisation. © 2004 Elsevier Ltd. All rights reserved.	6	2004
10.1016/j.saa.2012.02.011	031ACD6B	Raman spectroscopic study of the mineral arsenogorceixite BaAl3AsO3(OH)(AsO4,PO4)(OH,F)6	Arsenogorceixite BaAl(3)AsO(3)(OH)(AsO(4),PO(4))(OH,F)(6) belongs to the crandallite mineral subgroup of the alunite supergroup. Arsenogorceixite forms a continuous series of solid solutions with related minerals including gorceixite, goyazite, arsenogoyazite, plumbogummite and philipsbornite. Two minerals from (a) Germany and (b) from Ashburton Downs, Australia were analysed by Raman spectroscopy. The spectra show some commonality but the intensities of the peaks vary. Sharp intense Raman bands for the German sample, are observed at 972 and 814 cm(-1) attributed to the ν(1) PO(4)(3-) and AsO(4)(3-) symmetric stretching modes. Raman bands at 1014, 1057, 1148 and 1160 cm(-1) are attributed to the ν(1) PO(2) symmetric stretching mode and ν(3) PO(4)(3-) antisymmetric stretching vibrations. Raman bands at 764 and 776 cm(-1) and 758 and 756 cm(-1) are assigned to the ν(3) AsO(4)(3-) antisymmetric stretching vibrations. For the Australian mineral, the ν(1) PO(4)(3-) band is found at 973 cm(-1). The intensity of the arsenate bands observed at 814, 838 and 870 cm(-1) is greatly enhanced. Two low intensity Raman bands at 1307 and 1332 cm(-1) are assigned to hydroxyl deformation modes. The intense Raman band at 441 cm(-1) with a shoulder at 462 cm(-1) is assigned to the ν(2) PO(4)(3-) bending mode. Raman bands at 318 and 340 cm(-1) are attributed to the (AsO(4))(3-)ν(2) bending. The broad band centred at 3301 cm(-1) is assigned to water stretching vibrations and the sharper peak at 3473 cm(-1) is assigned to the OH stretching vibrations. The observation of strong water stretching vibrations brings into question the actual formula of arsenogorceixite. It is proposed the formula is better written as BaAl(3)AsO(3)(OH)(AsO(4),PO(4))(OH,F)(6)·xH(2)O. The observation of both phosphate and arsenate bands provides a clear example of solid solution formation.	2	2012
